year,precinct,closed_case_rate,#
2010,Rampart,32.84713448949121,1
2010,Olympic,31.51528982199909,2
2010,Harbor,29.36028339237341,3
2011,Olympic,35.0400600901352,1
2011,Rampart,32.4964471814306,2
2011,Harbor,28.51336246316431,3
2012,Olympic,34.29708533302119,1
2012,Rampart,32.46000463714352,2
2012,Harbor,29.50958584895668,3
2013,Olympic,33.58217940999398,1
2013,Rampart,32.1060382916053,2
2013,Harbor,29.72363895148855,3
2014,Van Nuys,32.0215235281705,1
2014,West Valley,31.49754809505847,2
2014,Mission,31.22493985565357,3
2015,Van Nuys,32.26514067715784,1
2015,Mission,30.4637626736763,2
2015,Foothill,30.35300180365885,3
2016,Van Nuys,32.1945184621241,1
2016,West Valley,31.40146437042384,2
2016,Foothill,29.90864722813165,3
2017,Van Nuys,32.0554272517321,1
2017,Mission,31.05538715899697,2
2017,Foothill,30.46970065709418,3
2018,Foothill,30.73134695887712,1
2018,Mission,30.72702331961591,2
2018,Van Nuys,28.90520694259012,3
2019,Mission,30.72741111231923,1
2019,West Valley,30.57974335472044,2
2019,N Hollywood,29.23808669119627,3
2020,West Valley,30.77113198220465,1
2020,Mission,30.14974649215894,2
2020,Harbor,29.69348659003831,3
2021,Mission,30.31811559009228,1
2021,West Valley,28.97108744000936,2
2021,Foothill,27.99375709421112,3
2022,West Valley,26.5363671723065,1
2022,Harbor,26.3375380600261,2
2022,Topanga,26.2340133178311,3
2023,Foothill,26.76076020122974,1
2023,Topanga,26.53802261645399,2
2023,Mission,25.66273112051682,3
2024,N Hollywood,19.59852896107876,1
2024,Foothill,18.62088218872138,2
2024,77th Street,17.58631816715069,3
