year,precinct,closed_case_rate,#
2010,Rampart,32.84713448949121,1
2010,Olympic,31.515289821999087,2
2010,Harbor,29.36028339237341,3
2011,Olympic,35.040060090135206,1
2011,Rampart,32.4964471814306,2
2011,Harbor,28.51336246316431,3
2012,Olympic,34.29708533302119,1
2012,Rampart,32.46000463714352,2
2012,Harbor,29.509585848956675,3
2013,Olympic,33.58217940999398,1
2013,Rampart,32.1060382916053,2
2013,Harbor,29.723638951488557,3
2014,Van Nuys,32.0215235281705,1
2014,West Valley,31.49754809505847,2
2014,Mission,31.224939855653567,3
2015,Van Nuys,32.265140677157845,1
2015,Mission,30.463762673676303,2
2015,Foothill,30.353001803658852,3
2016,Van Nuys,32.194518462124094,1
2016,West Valley,31.40146437042384,2
2016,Foothill,29.908647228131645,3
2017,Van Nuys,32.0554272517321,1
2017,Mission,31.055387158996968,2
2017,Foothill,30.469700657094183,3
2018,Foothill,30.731346958877126,1
2018,Mission,30.727023319615913,2
2018,Van Nuys,28.905206942590123,3
2019,Mission,30.727411112319235,1
2019,West Valley,30.57974335472044,2
2019,N Hollywood,29.23808669119627,3
2020,West Valley,30.771131982204647,1
2020,Mission,30.14974649215894,2
2020,Harbor,29.693486590038315,3
2021,Mission,30.318115590092276,1
2021,West Valley,28.971087440009363,2
2021,Foothill,27.993757094211126,3
2022,West Valley,26.536367172306498,1
2022,Harbor,26.337538060026098,2
2022,Topanga,26.234013317831096,3
2023,Foothill,26.76076020122974,1
2023,Topanga,26.538022616453986,2
2023,Mission,25.662731120516817,3
2024,N Hollywood,19.598528961078763,1
2024,Foothill,18.620882188721385,2
2024,77th Street,17.586318167150694,3
