COMM,Annual Average Income Per Person ($),Rate of Total Crimes Per Person
Toluca Terrace,20167.531899,0.23059185242121444
Elysian Park,13871.322764,1.084868046326182
Longwood,13420.052257,0.730166270783848
Green Meadows,8027.096413,1.2095757025377125
Cadillac-Corning,19572.784696,0.6669167291822956
Mid-city,21734.648999,0.8071692586651789
Lincoln Heights,10902.134793,0.6226239404058567
Van Nuys,14488.189551,0.9170415838361292
Gramercy Place,14936.698099,1.0759579191197761
Faircrest Heights,20908.511763,1.2802788266047052
Boyle Heights,8434.465373,0.7227876320635844
Lafayette Square,16700.833410,0.9137218907755851
Granada Hills,27608.016856,0.5782462118465889
North Hills,16224.486386,0.655059866962306
Northridge,22909.936328,0.8133372019923594
Wilshire Center,15965.025225,0.8635796595834655
Jefferson Park,10258.852338,0.6823436678928009
Vermont Square,8329.565791,0.7997161107168205
Cloverdale/Cochran,14660.930872,0.7079532497149373
Adams-Normandie,8791.458301,0.7369293547564397
Harbor Pines,19236.696665,0.5573321151210598
Encino,38338.005644,0.703747432052705
Reynier Village,24451.135373,0.7172582619339045
Toluca Woods,24517.584110,0.6421917808219179
Glassell Park,18824.302773,0.5020193861066236
Silverlake,24918.173926,0.7224306984626558
Sunland,26121.014098,0.49984731270358307
Cheviot Hills,36600.502604,0.5542502493627397
Carthay,49841.164527,0.9322445879225219
West Los Angeles,39714.005298,0.8311722523049905
South Carthay,39831.340038,0.723174477360547
Country Club Park,15774.632806,0.7310574521232306
Venice,47614.883341,1.2549272030651342
University Hills,11766.364042,0.3436404207841887
Century Palms/Cove,8552.220123,1.2666818714974586
Playa Vista,50264.471880,0.8157069235939951
Beverlywood,29267.821023,0.521224325412807
Chinatown,14058.456168,1.2563501367721766
Manchester Square,14589.573906,1.0897295986419304
Temple-Beaudry,14815.406345,0.7363052099001778
Figueroa Park Square,9298.712075,0.9887586123534389
Beverly Crest,60947.490198,0.3713395127553113
Koreatown,13588.462579,0.7773588814085965
Harbor City,21383.022212,0.6426743797975303
Pacific Palisades,70656.112823,0.45085501138400425
Angelino Heights,18411.548822,0.6300505050505051
North Hollywood,17301.439128,0.8013964204433706
Atwater Village,28477.197362,0.6876108077441316
Canoga Park,19656.956399,0.8960521181480413
Harvard Heights,11820.773347,0.780779894991446
Reseda,16927.968267,0.6108411423161002
Playa Del Rey,45522.596580,0.7770740975300824
Brentwood,60840.624859,0.5036005597078598
Alsace,11239.501194,0.5513301500682128
South Park,6943.255564,0.8862840357021805
Studio City,44049.852630,0.9295754238516157
Mandeville Canyon,55572.109496,0.26229508196721313
Crestview,33327.120074,0.6803894297635605
Panorama City,10221.126106,0.6498237536867851
Hollywood Hills,43015.988206,0.8126545975981359
Exposition,12322.893762,1.352378011117974
Exposition Park,8956.490471,1.2243055377433503
Angeles National Forest,28117.650000,11.35
Regent Square,19615.819538,0.7818791946308725
Lake Balboa,17289.087391,0.6017674035141959
Central,6972.518435,0.7052396815538367
Westchester,33988.457442,1.1896619947102067
Winnetka,19638.747657,0.6688561626642122
Wellington Square,13445.857143,0.9828484585323491
Reseda Ranch,14318.063612,0.7724644128113879
Little Bangladesh,18590.283627,0.7429869392390687
West Vernon,8722.734354,1.0741948310139164
Vernon Central,6624.199012,0.7288347583605012
Mt. Washington,16611.170365,0.48030572805836624
Bel Air,63041.338095,0.4275511439293064
Victoria Park,15596.298134,0.7328072153325818
