division,average_distance,#
PACIFIC,3.617773433715092,7654
FOOTHILL,4.81139497334595,7318
WEST VALLEY,3.3635469483212828,6469
VAN NUYS,3.4307651448008722,6453
WEST LOS ANGELES,3.9508905508901657,6193
TOPANGA,3.8180253382083027,5971
NORTH HOLLYWOOD,3.1946900764893713,5748
WILSHIRE,2.5565989617061944,5731
NORTHEAST,3.6952562270997955,5726
HARBOR,4.047450107273187,5554
MISSION,3.553593615521549,5415
HOLLYWOOD,2.840164535299211,4933
HOLLENBECK,3.365686997368309,4618
SOUTHWEST,2.2951702816435144,4482
DEVONSHIRE,3.083441314594987,4437
SOUTHEAST,3.321595088585189,4347
77TH STREET,1.9311552614873917,3370
NEWTON,1.6382180223355474,3009
RAMPART,1.926005413476599,2817
OLYMPIC,1.7268573247441028,2760
CENTRAL,1.4389179813974606,2055
